ROL,frequency_rol,ROL_us,frequency_us
justice,142,corrupt,60
law,105,bias,49
obey,87,unfair,40
court,63,good,39
order,59,fair,31
constitution,57,justice,28
fairness,56,political,25
respect,54,break,23
fair,45,unequal,23
equality,44,ignore,22
police,41,law,20
right,36,challenge,17
accountability,35,unjust,16
rule,30,corruption,16
judge,29,disrespect,15
democracy,28,poor,14
government,28,joke,13
legal,21,sad,12
follow,21,partisan,12
power,20,respect,12
authority,20,power,12
trust,18,slow,12
freedom,17,money,12
equal,16,polarize,11
safety,16,obey,11
enforcement,14,equality,10
lawyer,13,inconsistent,10
obedience,13,chaos,10
everyone,12,trump,9
good,11,lack,9
important,11,freedom,9
bias,10,follow,9
equally,10,threaten,9
supremacy,9,attack,9
congress,9,control,8
trump,9,weak,8
corruption,9,democracy,8
mandate,9,confuse,8
honesty,9,weaponize,8
protection,8,perfect,7
citizen,8,equal,7
control,7,bad,7
honest,7,accountability,7
truth,7,racist,7
safe,7,right,7
society,7,dishonest,7
governance,7,non,7
civility,7,fairness,6
know,7,uncertain,6
peace,7,prejudice,6
lie,6,fragile,6
impartial,6,selective,6
people,6,work,6
guideline,6,uneven,6
unbiased,6,trust,6
abide,6,crook,6
apply,6,chaotic,6
money,6,preferential,6
institution,6,nice,6
one,6,untrustworthy,6
must,6,strong,6
regulation,6,existent,5
equity,6,complex,5
listen,6,partial,5
punishment,6,one,5
integrity,6,enforce,5
jury,6,lawless,5
judiciary,6,disregard,5
ideal,5,compromise,5
responsibility,5,erode,5
accountable,5,apply,5
system,5,liberal,5
supreme,5,reliable,5
principle,5,ineffective,5
strong,5,stupid,5
comply,5,wrong,5
process,5,important,5
judgement,5,outdate,5
democrats,5,questionable,5
security,5,nonexistent,5
require,5,target,5
necessary,5,well,5
compliance,4,care,5
constitutional,4,excellent,5
like,4,discriminatory,5
impartiality,4,evolve,5
unfair,4,abuse,5
civil,4,influence,5
joke,4,unknown,4
legality,4,lie,4
wrong,4,side,4
obligation,4,improve,4
independent,4,go,4
politic,4,effective,4
consequence,4,strict,4
enforce,4,limit,4
crime,4,buy,4
commitment,3,free,4
publicly,3,disobey,4
weaponize,3,unenforced,4
ignore,3,rich,4
commandment,3,disorganize,4
bullshit,3,lawfare,4
civilization,3,tenuous,4
stability,3,laughable,4
organize,3,fine,4
procedure,3,crime,4
legislation,3,stable,4
balance,3,conflict,4
fantastic,3,tiere,4
betrayal,3,vary,4
authoritarian,3,politicize,4
low,3,contest,4
spirit,3,democrats,4
independence,3,violence,4
faxin,3,unstable,4
well,3,manipulate,4
norm,3,court,4
social,3,need,4
civilize,3,fake,4
objective,3,scary,4
reliable,3,disorder,4
stupid,3,divide,4
unjust,3,gun,4
fake,3,order,4
medium,3,skewed,4
republican,3,discrimination,4
value,3,racial,3
hypocrisy,3,danger,3
question,3,equally,3
liberty,3,supreme,3
american,3,twist,3
honestly,3,controversial,3
book,3,unruly,3
corrupt,3,transparent,3
executive,2,sexism,3
legislative,2,obedience,3
independently,2,messy,3
change,2,like,3
execution,2,government,3
speech,2,iffy,3
common,2,subjective,3
absolute,2,politic,3
previous,2,constitution,3
everybody,2,suspect,3
promulgate,2,divisive,3
protect,2,fuck,3
decision,2,shaky,3
justic,2,weaken,3
biden,2,injustice,3
consistency,2,disobedience,3
establish,2,polarization,3
ruler,2,expensive,3
violence,2,contentious,3
jail,2,concern,3
statement,2,complicate,3
taxis,2,great,3
adhere,2,criminal,3
judicial,2,peace,3
overall,2,arbitrary,3
liberal,2,struggle,3
non,2,old,3
negotiable,2,bribery,3
myth,2,dysfunctional,3
fiction,2,uphold,3
nobody,2,change,3
cover,2,dishonesty,3
division,2,citizen,3
understand,2,relevant,3
reason,2,balance,3
president,2,conservative,3
truthful,2,question,3
mandatory,2,authority,3
sanity,2,betrayal,3
practice,2,two,2
challenge,2,destroy,2
bill,2,none,2
structure,2,human,2
trustworthy,2,sometimes,2
lawful,2,disarray,2
unequal,2,less,2
cop,2,jeopardy,2
prosecutor,2,shameful,2
political,2,standard,2
cool,2,mock,2
accept,2,responsible,2
ethical,2,civilian,2
correct,2,dispute,2
adherence,2,crazy,2
guide,2,unique,2
new,2,bullshit,2
democratic,2,lose,2
public,2,mix,2
uphold,2,loose,2
complex,2,irresponsible,2
usa,2,misguide,2
secure,2,honesty,2
poor,2,turmoil,2
moral,2,waste,2
observe,2,optional,2
attorney,2,resilient,2
need,2,privilege,2
go,2,disorderly,2
america,2,legal,2
sometimes,2,acceptable,2
govern,2,often,2
guilty,2,distrust,2
powerful,2,lock,2
organization,2,unorganize,2
economy,2,institution,2
essential,2,function,2
education,2,disrespectful,2
honor,2,help,2
oppression,2,vague,2
immunity,2,police,2
due,2,convolute,2
write,2,retaliatory,2
equitable,2,fantastic,2
application,2,low,2
bind,2,equitable,2
farce,2,oligarchy,2
open,2,fire,2
universal,2,abide,2
criminal,2,meaningless,2
transparency,2,president,2
human,2,safety,2
selective,2,unlawful,2
always,2,funtional,2
way,2,ignorance,2
adjudicate,2,classist,2
prefer,1,know,2
ridiculous,1,pressure,2
prison,1,jeopardize,2
destroy,1,unclear,2
disgrace,1,state,2
liar,1,endanger,2
senator,1,incomplete,2
say,1,absent,2
historical,1,test,2
tyranny,1,biden,2
many,1,taint,2
obay,1,powerful,2
lock,1,necessary,2
archaic,1,education,2
appeal,1,security,2
beurocracy,1,maga,2
standard,1,impartial,2
high,1,serve,2
boss,1,judiciary,2
waste,1,imperfect,2
survey,1,anarchy,2
expect,1,appropriate,2
elect,1,awful,2
untrustworthy,1,shit,2
depend,1,ridicule,2
reasonable,1,hypocritical,2
heed,1,safe,2
never,1,unbalanced,2
loyal,1,bind,2
accretion,1,judge,2
ethic,1,idiot,2
prosecute,1,everyone,2
country,1,shamble,2
conform,1,governance,2
pander,1,disappointing,2
restrictive,1,equity,2
interpretation,1,incompetence,2
accessibility,1,self,2
mislead,1,cool,2
okay,1,fail,2
stable,1,brutality,2
